date,thscode,open,high,low,close,volume,open_interest
2026-03-23,SR609.CZC,5477,5529,5473,5482,162113,
2026-03-24,SR609.CZC,5443,5494,5434,5460,119614,
2026-03-25,SR609.CZC,5466,5483,5436,5461,118078,
2026-03-26,SR609.CZC,5440,5487,5437,5485,105506,
2026-03-27,SR609.CZC,5490,5496,5454,5487,129184,
2026-03-30,SR609.CZC,5492,5556,5463,5467,251879,
2026-03-31,SR609.CZC,5466,5474,5415,5431,183789,
2026-04-01,SR609.CZC,5440,5457,5371,5380,212533,
2026-04-02,SR609.CZC,5386,5411,5366,5396,192212,
2026-04-03,SR609.CZC,5405,5410,5332,5338,285229,
2026-04-07,SR609.CZC,5339,5358,5321,5329,179064,
2026-04-08,SR609.CZC,5327,5328,5270,5291,250017,
2026-04-09,SR609.CZC,5285,5335,5259,5317,333785,
2026-04-10,SR609.CZC,5300,5329,5295,5325,312932,
2026-04-13,SR609.CZC,5329,5334,5304,5319,275645,
2026-04-14,SR609.CZC,5319,5319,5283,5287,267765,
2026-04-15,SR609.CZC,5298,5330,5289,5311,309763,
2026-04-16,SR609.CZC,5299,5381,5289,5377,446417,
2026-04-17,SR609.CZC,5370,5381,5339,5352,326237,
2026-04-20,SR609.CZC,5330,5332,5291,5321,396207,
2026-04-21,SR609.CZC,5314,5375,5310,5371,404726,
2026-04-22,SR609.CZC,5380,5419,5377,5396,523957,
2026-04-23,SR609.CZC,5409,5434,5388,5395,469048,
2026-04-24,SR609.CZC,5400,5432,5389,5397,346033,
2026-04-27,SR609.CZC,5398,5437,5362,5423,417428,
2026-04-28,SR609.CZC,5420,5425,5384,5409,372451,
2026-04-29,SR609.CZC,5420,5421,5385,5406,305566,
2026-04-30,SR609.CZC,5417,5432,5396,5406,341379,
2026-05-06,SR609.CZC,5441,5472,5414,5425,443279,
2026-05-07,SR609.CZC,5389,5450,5373,5447,499384,
2026-05-08,SR609.CZC,5430,5483,5426,5442,603422,
2026-05-11,SR609.CZC,5446,5483,5442,5477,434436,
2026-05-12,SR609.CZC,5484,5514,5465,5504,480920,
2026-05-13,SR609.CZC,5507,5519,5451,5479,513709,
2026-05-14,SR609.CZC,5490,5538,5470,5497,586646,
2026-05-15,SR609.CZC,5469,5490,5427,5437,549540,
2026-05-18,SR609.CZC,5431,5453,5424,5429,376570,
2026-05-19,SR609.CZC,5419,5441,5406,5430,359285,
2026-05-20,SR609.CZC,5437,5439,5381,5392,447275,
2026-05-21,SR609.CZC,5390,5404,5359,5363,416039,
2026-05-22,SR609.CZC,5370,5388,5357,5368,329226,
2026-05-25,SR609.CZC,5357,5378,5339,5346,359828,
2026-05-26,SR609.CZC,5350,5394,5339,5389,356541,
2026-05-27,SR609.CZC,5387,5408,5375,5382,326115,
2026-05-28,SR609.CZC,5370,5385,5351,5378,326857,
2026-05-29,SR609.CZC,5369,5420,5362,5411,493768,
2026-06-01,SR609.CZC,5419,5454,5410,5446,432983,
2026-06-02,SR609.CZC,5450,5451,5416,5433,375595,
2026-06-03,SR609.CZC,5433,5455,5427,5438,376631,
2026-06-04,SR609.CZC,5439,5446,5368,5374,475908,
2026-06-05,SR609.CZC,5375,5390,5316,5341,521214,
2026-06-08,SR609.CZC,5340,5341,5312,5330,336897,
2026-06-09,SR609.CZC,5330,5348,5307,5310,347053,
2026-06-10,SR609.CZC,5309,5323,5301,5314,259000,
2026-06-11,SR609.CZC,5315,5322,5277,5291,356513,
2026-06-12,SR609.CZC,5291,5331,5273,5315,426882,
2026-06-15,SR609.CZC,5311,5332,5303,5321,312013,
2026-06-16,SR609.CZC,5325,5335,5307,5317,306369,
2026-06-17,SR609.CZC,5313,5354,5309,5338,365180,
2026-06-18,SR609.CZC,5340,5353,5310,5320,360257,
